"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2013-09-30,"Aurora","IL","Chicago","Kane",133,1473,0.00614754098360656,0.0293501048218029,0.0424628450106157,48974
2013-09-30,"Rockford","IL","Rockford","Winnebago",134,900,0.00446428571428571,0.048951048951049,0.0989010989010989,53775
2013-09-30,"Little Rock","AR","Little Rock","Pulaski",135,1050,-0.00568181818181818,-0.0349264705882353,0.00767754318618042,59985
2013-09-30,"Salt Lake City","UT","Salt Lake City","Salt Lake",136,1353,0.00520059435364041,0.0257771038665656,0.0920096852300242,47176
2013-09-30,"Salinas","CA","Salinas","Monterey",137,1731,0.00698080279232112,0.00522648083623693,0.00581057524694945,31263
2013-09-30,"Brownsville","TX","Brownsville","Cameron",138,783,-0.0126103404791929,-0.074468085106383,-0.0451219512195122,43685
2013-09-30,"Amarillo","TX","Amarillo","Potter",139,1110,0.00634632819582956,0.0146252285191956,0.0306406685236769,57762
2013-09-30,"Worcester","MA","Worcester","Worcester",140,1353,0.0104555638536221,0.0157657657657658,0.0211320754716981,30394
2013-09-30,"Lancaster","CA","Los Angeles","Los Angeles",141,1472,0.000679809653297077,0.0123796423658872,0.0658942795076032,44484
2013-09-30,"Evansville","IN","Evansville","Vanderburgh",142,791,-0.0306372549019608,0.0141025641025641,0.0193298969072165,62233
2013-09-30,"Port Saint Lucie","FL","Port St. Lucie","Saint Lucie",143,1189,0.0101954120645709,0.0241171403962102,0.0101954120645709,74175
2013-09-30,"Huntsville","AL","Huntsville","Madison",144,960,0.00208768267223382,0.00734522560335782,-0.036144578313253,58065
2013-09-30,"Fort Collins","CO","Fort Collins","Larimer",145,1472,0.0123796423658872,0.0395480225988701,0.0461975835110163,52665
2013-09-30,"Providence","RI","Providence","Providence",146,1290,-0.0137614678899083,-0.032258064516129,0.0141509433962264,18361
2013-09-30,"Yonkers","NY","New York","Westchester",147,2537,0.00118389897395422,0.0201045436268597,0.0217478856222312,16222
2013-09-30,"Garden Grove","CA","Los Angeles","Orange",148,2235,0.00494604316546763,0.0081190798376184,0.0117700316885469,32327
2013-09-30,"Newport News","VA","Virginia Beach","Newport News City",149,1222,0.00658978583196046,0.0124275062137531,0.00163934426229508,46325
2013-09-30,"Overland Park","KS","Kansas City","Johnson",150,1705,0.000586854460093897,0.00530660377358491,0.0136741973840666,46632
2013-09-30,"Cape Coral","FL","Fort Myers","Lee",151,1241,0.0138888888888889,0.0315876974231089,0.101153504880213,72508
2013-09-30,"Columbus","GA","Columbus","Muscogee",152,779,0.0012853470437018,-0.0382716049382716,-0.0151706700379267,56338
2013-09-30,"Ontario","CA","Riverside","San Bernardino",153,1669,-0.000598802395209581,0.0011997600479904,0.0145896656534954,30057
2013-09-30,"Grand Prairie","TX","Dallas-Fort Worth","Dallas",154,1268,0.00714853057982526,0.012779552715655,0.0359477124183007,41531
2013-09-30,"Palmdale","CA","Los Angeles","Los Angeles",155,1515,0.00264725347452019,0.0127005347593583,0.050624133148405,43828
2013-09-30,"Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",156,1765,0.00170261066969353,0.0108820160366552,0.0487225193107546,64527
2013-09-30,"Jackson","MS","Jackson","Hinds",157,825,0.0122699386503067,0.0456273764258555,0.03125,53278
2013-09-30,"Chattanooga","TN","Chattanooga","Hamilton",158,1001,-0.00891089108910891,-0.0253164556962025,-0.0636108512628625,50379
2013-09-30,"Roanoke","VA","Roanoke","Roanoke City",159,1066,0.00282220131702728,0.00756143667296786,0.0133079847908745,58890
2013-09-30,"Santa Clarita","CA","Los Angeles","Los Angeles",160,2244,0.00402684563758389,0,0.0035778175313059,48532
2013-09-30,"Rancho Cucamonga","CA","Riverside","San Bernardino",161,1965,0.000509164969450102,0.00357507660878447,0.0191908713692946,42509
2013-09-30,"Killeen","TX","Killeen","Bell",162,959,-0.0133744855967078,-0.0390781563126252,-0.0103199174406605,34290
2013-09-30,"Sioux Falls","SD","Sioux Falls","Minnehaha",163,1174,0.018213356461405,0.102347417840376,0.24364406779661,37904
2013-09-30,"Topeka","KS","Topeka","Shawnee",164,957,0.013771186440678,0.0357142857142857,0.0290322580645161,51136
2013-09-30,"Naperville","IL","Chicago","Du Page",165,2192,-0.00904159132007233,0.0120036934441367,0.0162262401483542,50983
2013-09-30,"El Cajon","CA","San Diego","San Diego",166,2038,-0.00244738130200685,-0.000490436488474743,0.00147420147420147,32201
2013-09-30,"Fredericksburg","VA","Washington","Spotsylvania",167,1560,-0.00255754475703325,-0.00573613766730402,0.00580270793036751,50742
2013-09-30,"Tempe","AZ","Phoenix","Maricopa",168,1228,0.00244897959183673,-0.00081366965012205,-0.00807754442649435,43118
2013-09-30,"Vancouver","WA","Portland","Clark",169,1301,0.00774593338497289,0.02360346184107,0.0491935483870968,42174
2013-09-30,"Murfreesboro","TN","Nashville","Rutherford",170,1164,-0.000858369098712446,0.0130548302872063,0.0291777188328912,53343
2013-09-30,"Clarksville","TN","Clarksville","Montgomery",171,968,0.00623700623700624,0.0114942528735632,-0.0290872617853561,47533
2013-09-30,"Elk Grove","CA","Sacramento","Sacramento",172,1583,0.00444162436548223,0.0134443021766965,0.00699745547073791,46390
2013-09-30,"Pembroke Pines","FL","Miami-Fort Lauderdale","Broward",173,1786,0.00224466891133558,0.025847214244687,0.0456674473067916,54642
2013-09-30,"Pueblo","CO","Pueblo","Pueblo",174,873,0.0210526315789474,0.0685434516523868,-0.121730382293763,51171
2013-09-30,"Springfield","MA","Springfield","Hampden",175,1094,0.00274977085242896,-0.0403508771929825,-0.159108378170638,28106
2013-09-30,"Fairfax","VA","Washington","Fairfax",176,2442,0.000819672131147541,0.0120182345627849,0.0204763894692854,43530
2013-09-30,"Peoria","AZ","Phoenix","Maricopa",177,1199,-0.000833333333333333,-0.00166527893422148,-0.0172131147540984,52797
2013-09-30,"Lafayette","LA","Lafayette","Lafayette",178,1383,-0.0212314225053079,0.00144822592324403,-0.00288392213410238,40057
2013-09-30,"Boynton Beach","FL","Miami-Fort Lauderdale","Palm Beach",179,1602,0.00691389063482087,0.015852885225111,0.0389105058365759,65606
2013-09-30,"Sugar Land","TX","Houston","Fort Bend",180,2017,0.0130587644399799,0.0197168857431749,0.0660676532769556,45017
2013-09-30,"Pomona","CA","Los Angeles","Los Angeles",181,1778,0.00056274620146314,0.00112612612612613,0.0212521539345204,26007
2013-09-30,"Paterson","NJ","New York","Passaic",182,1466,0.00548696844993141,0.00410958904109589,0.0273300630693763,18825
2013-09-30,"Lakewood","CO","Denver","Jefferson",183,1524,0.012624584717608,0.016,0.0561330561330561,46674
2013-09-30,"Tyler","TX","Tyler","Smith",184,1071,0.0357833655705996,0.0268456375838926,-0.00557103064066852,36585
2013-09-30,"Visalia","CA","Visalia","Tulare",185,1185,-0.0016849199663016,-0.0214698596201486,-0.0190397350993377,38077
2013-09-30,"Torrance","CA","Los Angeles","Los Angeles",186,2620,0.00306278713629403,0.0111925897336936,0.00924499229583975,35741
2013-09-30,"Beaumont","TX","Beaumont","Jefferson",187,897,-0.00554323725055432,-0.00222469410456062,0.0565371024734982,41264
2013-09-30,"Kansas City","KS","Kansas City","Wyandotte",188,755,0.0188933873144399,0.0486111111111111,0.0342465753424658,43371
2013-09-30,"Syracuse","NY","Syracuse","Onondaga",189,1006,-0.0137254901960784,0.00902708124373119,0.0578338590956887,24857
2013-09-30,"Charleston","SC","Charleston","Charleston",190,1500,0.00200400801603206,0.0252904989747095,0.0548523206751055,50728
2013-09-30,"Dayton","OH","Dayton","Montgomery",191,670,-0.00593471810089021,-0.00445765230312036,0.0551181102362205,45901
2013-09-30,"Las Cruces","NM","Las Cruces","Dona Ana",192,1002,-0.000997008973080758,-0.00496524329692155,0.0203665987780041,38818
2013-09-30,"Bridgeport","CT","Stamford","Fairfield",193,1609,0.0100439422473321,0.000621890547263682,-0.0116707616707617,19900
2013-09-30,"Pasadena","TX","Houston","Harris",194,1178,0.00340715502555366,0.00511945392491468,0.0499108734402852,30270
2013-09-30,"Canton","OH","Canton","Stark",195,755,0.0147849462365591,-0.00918635170603675,0.0559440559440559,48036
2013-09-30,"Yuma","AZ","Yuma","Yuma",196,989,0.0102145045965271,0.0227507755946225,0.0334378265412748,31624
2013-09-30,"Salem","OR","Salem","Marion",197,1118,-0.000893655049151028,0.00269058295964126,0.0126811594202899,38231
2013-09-30,"Hayward","CA","San Francisco","Alameda",198,1971,0.00921658986175115,-0.00705289672544081,0.0434092112228692,28732
2013-09-30,"Alexandria","VA","Washington","Alexandria City",199,2332,-0.00639113762249681,-0.0172777075431943,-0.00256629597946963,40456
2013-09-30,"Hollywood","FL","Miami-Fort Lauderdale","Broward",200,1624,0.00370828182941904,0.016270337922403,0.0470664087685364,51709
2013-09-30,"Newark","DE","Philadelphia","New Castle",201,1418,-0.00281293952180028,-0.00281293952180028,0.0582089552238806,39590
2013-09-30,"Sunnyvale","CA","San Jose","Santa Clara",202,3058,0.00791034937376401,0.0296296296296296,0.0362588952897323,27114
2013-09-30,"Eugene","OR","Eugene","Lane",203,1179,0.00855431993156544,0.031496062992126,0.0198961937716263,45894
2013-09-30,"Hampton","VA","Virginia Beach","Hampton City",204,1177,0.00598290598290598,0.00943396226415094,0.0324561403508772,43210
2013-09-30,"Pasadena","CA","Los Angeles","Los Angeles",205,2412,0,0.0075187969924812,0.00920502092050209,30438
2013-09-30,"Cumming","GA","Atlanta","Forsyth",206,1558,0.0183006535947712,0.027027027027027,0.0229809586342745,42802
2013-09-30,"Mesquite","TX","Dallas-Fort Worth","Dallas",207,1173,-0.000851788756388416,-0.000851788756388416,0.0325704225352113,36532
