"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","PeakQuarter"
2013-09-30,"Bartlett","TN","Memphis","Shelby",805,147500,0.00820232399179768,0.0130494505494505,0.018646408839779,-0.0171184221092067,-0.00300072330962009,17889,"2007-03",168200,-0.123067776456599,"2003-04","2007-Q1"
2013-09-30,"Longview","WA","Longview","Cowlitz",806,146400,-0.00880162491536899,0.0390347764371895,0.0756796473181484,-0.0319415372179451,0.0167447513335006,14110,"2007-06",196900,-0.256475368207212,"2005-08","2007-Q2"
2013-09-30,"Placentia","CA","Los Angeles","Orange",807,542200,-0.0181093806591815,-0.00422405876951332,0.169542709232097,0.0276407396312901,0.0225321841962625,13274,"2006-03",673800,-0.19531018106263,"2004-05","2006-Q1"
2013-09-30,"Lancaster","SC","Lancaster","Lancaster",808,86600,-0.0102857142857143,-0.0091533180778032,0.0599755201958384,0.00563680620687368,0.0101261471851575,13707,"2009-10",96500,-0.10259067357513,"2008-11","2009-Q4"
2013-09-30,"Mason","OH","Cincinnati","Warren",809,219800,0.00918273645546373,0.0397350993377483,0.101202404809619,0.00256742789843334,0.00928309034277963,15956,"2006-03",227700,-0.0346947738252086,"2005-06","2006-Q1"
2013-09-30,"Edina","MN","Minneapolis-St Paul","Hennepin",810,366200,0.00411296956402523,0.0365128785734503,0.0483824792442027,0.0220908289358046,0.0147566704364106,19575,"2006-02",377100,-0.0289047997878547,"2005-10","2006-Q1"
2013-09-30,"Kentwood","MI","Grand Rapids","Kent",811,119900,-0.000833333333333333,0.0274207369323051,0.104051565377532,-0.00766061562729803,-0.0171890970114179,12778,"2006-02",150200,-0.201731025299601,"1999-06","2006-Q1"
2013-09-30,"Cerritos","CA","Los Angeles","Los Angeles",812,601500,-0.0100394996708361,0.0290846877673225,0.139636225843122,0.0272662264072687,0.0262718256265646,15393,"2006-01",735900,-0.18263350998777,"2004-09","2006-Q1"
2013-09-30,"Taunton","MA","Providence","Bristol",813,217300,0.00462320850670365,0.0377268385864374,0.0892230576441103,-0.0214633022597309,-0.0130882492805495,10191,"2006-06",295600,-0.2648849797023,"2003-02","2006-Q2"
2013-09-30,"Buckeye","AZ","Phoenix","Maricopa",814,144400,0.00557103064066852,0.0524781341107872,0.192402972749794,-0.0210413898344606,,19341,"2006-07",249900,-0.422168867547019,"2004-10","2006-Q3"
